CD,T1-38.9 m/s-LLT, , 
   0.09202123,    -0.7170047, , 
   0.08884476,    -0.7025717, , 
   0.08573099,    -0.6889576, , 
   0.08267624,    -0.6753141, , 
   0.07968045,    -0.6616542, , 
   0.07674401,    -0.6479841, , 
   0.07386715,     -0.634308, , 
   0.07105009,    -0.6206189, , 
   0.06829264,    -0.6068711, , 
   0.06559539,    -0.5931581, , 
   0.06295821,    -0.5794419, , 
   0.06038143,    -0.5657144, , 
   0.05786528,    -0.5519722, , 
   0.05540963,    -0.5382242, , 
   0.05301439,    -0.5244734, , 
   0.05068024,     -0.510709, , 
   0.04840698,    -0.4969371, , 
   0.04619496,    -0.4831575, , 
   0.04404379,    -0.4693749, , 
   0.04195423,    -0.4555799, , 
    0.0399258,    -0.4417805, , 
   0.03795903,    -0.4279744, , 
   0.03605362,    -0.4141638, , 
   0.03421019,    -0.4003435, , 
   0.03242818,    -0.3865198, , 
   0.03070789,    -0.3726915, , 
    0.0290498,    -0.3588563, , 
   0.02745363,    -0.3450149, , 
   0.02591923,    -0.3311704, , 
   0.02444678,    -0.3173221, , 
   0.02303711,    -0.3034666, , 
   0.02168939,    -0.2896072, , 
   0.02040366,    -0.2757452, , 
   0.01918012,    -0.2618801, , 
   0.01801959,    -0.2480081, , 
   0.01692125,    -0.2341335, , 
   0.01588489,    -0.2202576, , 
    0.0149113,    -0.2063778, , 
   0.01400081,    -0.1924924, , 
   0.01315218,    -0.1786064, , 
   0.01236576,    -0.1647191, , 
   0.01164286,    -0.1508275, , 
    0.0109829,    -0.1369323, , 
   0.01038453,    -0.1230372, , 
  0.009848571,     -0.109141, , 
   0.00937721,   -0.09524036, , 
  0.008968874,   -0.08133738, , 
  0.008622253,   -0.06743441, , 
  0.008337628,   -0.05353128, , 
  0.008116827,   -0.03962591, , 
  0.007957782,   -0.02572044, , 
  0.007860385,   -0.01181497, , 
  0.007824637,   0.002090374, , 
  0.007855438,    0.01599821, , 
  0.007948387,    0.02990629, , 
  0.008103006,    0.04381437, , 
  0.008319536,    0.05772244, , 
  0.008600915,    0.07162981, , 
  0.008944745,    0.08553703, , 
  0.009350327,    0.09944425, , 
  0.009818147,     0.1133511, , 
   0.01034999,     0.1272558, , 
   0.01094439,     0.1411598, , 
   0.01160058,     0.1550636, , 
   0.01231927,     0.1689662, , 
   0.01310141,     0.1828658, , 
   0.01394584,     0.1967643, , 
   0.01485231,     0.2106622, , 
   0.01582142,     0.2245575, , 
   0.01685327,     0.2384496, , 
   0.01794732,       0.25234, , 
   0.01910333,     0.2662297, , 
   0.02032213,     0.2801147, , 
   0.02160321,     0.2939965, , 
   0.02294623,     0.3078765, , 
   0.02435104,     0.3217554, , 
   0.02581852,     0.3356275, , 
   0.02734802,     0.3494961, , 
   0.02893918,     0.3633631, , 
   0.03059218,     0.3772264, , 
   0.03230715,     0.3910842, , 
   0.03408396,      0.404937, , 
   0.03592215,     0.4187888, , 
   0.03782217,     0.4326331, , 
   0.03978355,      0.446474, , 
   0.04180657,     0.4603082, , 
   0.04389076,     0.4741411, , 
   0.04603637,     0.4879637, , 
   0.04824297,     0.5017836, , 
   0.05051072,     0.5155976, , 
   0.05283944,     0.5294083, , 
   0.05522904,     0.5432055, , 
   0.05767934,     0.5570012, , 
   0.06019028,     0.5707914, , 
   0.06276178,     0.5845753, , 
   0.06539359,     0.5983451, , 
   0.06808578,     0.6121128, , 
   0.07083818,     0.6258747, , 
   0.07365048,     0.6396277, , 
   0.07652253,     0.6533681, , 
   0.07945454,     0.6671046, , 
   0.08244605,     0.6807891, , 
   0.08549703,     0.6945492, , 
   0.08860707,     0.7082147, , 
   0.09177665,     0.7219575, , 
   0.09500477,     0.7356051, , 
   0.09829148,     0.7492815, , 
    0.1016374,     0.7629543, , 
    0.1050415,     0.7766146, , 
    0.1085033,     0.7902595, , 
     0.112023,     0.8038918, , 
    0.1156017,     0.8175237, , 
    0.1192373,     0.8311378, , 
    0.1229291,     0.8447318, , 
    0.1266786,     0.8583165, , 
    0.1304869,     0.8719021, , 
    0.1343502,     0.8854647, , 
    0.1382681,     0.8990011, , 
    0.1422436,     0.9125327, , 
    0.1462773,     0.9260645, , 
    0.1503636,     0.9395648, , 
    0.1545034,     0.9530394, , 
    0.1587005,     0.9665105, , 
    0.1629542,     0.9799772, , 
    0.1672584,     0.9934082, , 
    0.1716158,      1.006817, , 
    0.1760296,      1.020222, , 
    0.1804973,      1.033613, , 
    0.1850129,      1.046963, , 
    0.1895823,      1.060298, , 
     0.194206,      1.073625, , 
    0.1988807,      1.086929, , 
    0.2036012,      1.100189, , 
    0.2083755,       1.11344, , 
    0.2132017,      1.126676, , 
     0.218074,      1.139876, , 
    0.2229924,      1.153039, , 
     0.227962,      1.166188, , 
    0.2329821,      1.179282, , 
    0.2380419,      1.192401, , 
    0.2431486,      1.205455, , 
    0.2483019,      1.218441, , 
    0.2535011,      1.231442, , 
    0.2587391,      1.244391, , 
    0.2640194,      1.257307, , 
    0.2693426,      1.270189, , 
    0.2747044,      1.283028, , 
    0.2801077,      1.295834, , 
    0.2855439,      1.308581, , 

