Alpha,T1-38.9 m/s-LLT, , 
          -15,    -0.7170047, , 
       -14.75,    -0.7025717, , 
        -14.5,    -0.6889576, , 
       -14.25,    -0.6753141, , 
          -14,    -0.6616542, , 
       -13.75,    -0.6479841, , 
        -13.5,     -0.634308, , 
       -13.25,    -0.6206189, , 
          -13,    -0.6068711, , 
       -12.75,    -0.5931581, , 
        -12.5,    -0.5794419, , 
       -12.25,    -0.5657144, , 
          -12,    -0.5519722, , 
       -11.75,    -0.5382242, , 
        -11.5,    -0.5244734, , 
       -11.25,     -0.510709, , 
          -11,    -0.4969371, , 
       -10.75,    -0.4831575, , 
        -10.5,    -0.4693749, , 
       -10.25,    -0.4555799, , 
          -10,    -0.4417805, , 
        -9.75,    -0.4279744, , 
         -9.5,    -0.4141638, , 
        -9.25,    -0.4003435, , 
           -9,    -0.3865198, , 
        -8.75,    -0.3726915, , 
         -8.5,    -0.3588563, , 
        -8.25,    -0.3450149, , 
           -8,    -0.3311704, , 
        -7.75,    -0.3173221, , 
         -7.5,    -0.3034666, , 
        -7.25,    -0.2896072, , 
           -7,    -0.2757452, , 
        -6.75,    -0.2618801, , 
         -6.5,    -0.2480081, , 
        -6.25,    -0.2341335, , 
           -6,    -0.2202576, , 
        -5.75,    -0.2063778, , 
         -5.5,    -0.1924924, , 
        -5.25,    -0.1786064, , 
           -5,    -0.1647191, , 
        -4.75,    -0.1508275, , 
         -4.5,    -0.1369323, , 
        -4.25,    -0.1230372, , 
           -4,     -0.109141, , 
        -3.75,   -0.09524036, , 
         -3.5,   -0.08133738, , 
        -3.25,   -0.06743441, , 
           -3,   -0.05353128, , 
        -2.75,   -0.03962591, , 
         -2.5,   -0.02572044, , 
        -2.25,   -0.01181497, , 
           -2,   0.002090374, , 
        -1.75,    0.01599821, , 
         -1.5,    0.02990629, , 
        -1.25,    0.04381437, , 
           -1,    0.05772244, , 
        -0.75,    0.07162981, , 
         -0.5,    0.08553703, , 
        -0.25,    0.09944425, , 
            0,     0.1133511, , 
         0.25,     0.1272558, , 
          0.5,     0.1411598, , 
         0.75,     0.1550636, , 
            1,     0.1689662, , 
         1.25,     0.1828658, , 
          1.5,     0.1967643, , 
         1.75,     0.2106622, , 
            2,     0.2245575, , 
         2.25,     0.2384496, , 
          2.5,       0.25234, , 
         2.75,     0.2662297, , 
            3,     0.2801147, , 
         3.25,     0.2939965, , 
          3.5,     0.3078765, , 
         3.75,     0.3217554, , 
            4,     0.3356275, , 
         4.25,     0.3494961, , 
          4.5,     0.3633631, , 
         4.75,     0.3772264, , 
            5,     0.3910842, , 
         5.25,      0.404937, , 
          5.5,     0.4187888, , 
         5.75,     0.4326331, , 
            6,      0.446474, , 
         6.25,     0.4603082, , 
          6.5,     0.4741411, , 
         6.75,     0.4879637, , 
            7,     0.5017836, , 
         7.25,     0.5155976, , 
          7.5,     0.5294083, , 
         7.75,     0.5432055, , 
            8,     0.5570012, , 
         8.25,     0.5707914, , 
          8.5,     0.5845753, , 
         8.75,     0.5983451, , 
            9,     0.6121128, , 
         9.25,     0.6258747, , 
          9.5,     0.6396277, , 
         9.75,     0.6533681, , 
           10,     0.6671046, , 
        10.25,     0.6807891, , 
         10.5,     0.6945492, , 
        10.75,     0.7082147, , 
           11,     0.7219575, , 
        11.25,     0.7356051, , 
         11.5,     0.7492815, , 
        11.75,     0.7629543, , 
           12,     0.7766146, , 
        12.25,     0.7902595, , 
         12.5,     0.8038918, , 
        12.75,     0.8175237, , 
           13,     0.8311378, , 
        13.25,     0.8447318, , 
         13.5,     0.8583165, , 
        13.75,     0.8719021, , 
           14,     0.8854647, , 
        14.25,     0.8990011, , 
         14.5,     0.9125327, , 
        14.75,     0.9260645, , 
           15,     0.9395648, , 
        15.25,     0.9530394, , 
         15.5,     0.9665105, , 
        15.75,     0.9799772, , 
           16,     0.9934082, , 
        16.25,      1.006817, , 
         16.5,      1.020222, , 
        16.75,      1.033613, , 
           17,      1.046963, , 
        17.25,      1.060298, , 
         17.5,      1.073625, , 
        17.75,      1.086929, , 
           18,      1.100189, , 
        18.25,       1.11344, , 
         18.5,      1.126676, , 
        18.75,      1.139876, , 
           19,      1.153039, , 
        19.25,      1.166188, , 
         19.5,      1.179282, , 
        19.75,      1.192401, , 
           20,      1.205455, , 
        20.25,      1.218441, , 
         20.5,      1.231442, , 
        20.75,      1.244391, , 
           21,      1.257307, , 
        21.25,      1.270189, , 
         21.5,      1.283028, , 
        21.75,      1.295834, , 
           22,      1.308581, , 

