CD_induced,T1-38.9 m/s-LLT, , 
   0.06001387,     -1.057857, , 
   0.05795058,     -1.038324, , 
   0.05584758,     -1.019284, , 
   0.05376485,     -1.000093, , 
   0.05171334,    -0.9808309, , 
   0.04969193,    -0.9614648, , 
   0.04769979,    -0.9419894, , 
   0.04574094,    -0.9224381, , 
    0.0438159,    -0.9028061, , 
   0.04192445,    -0.8830951, , 
   0.04006775,    -0.8633021, , 
   0.03824818,    -0.8434551, , 
   0.03646351,    -0.8235227, , 
   0.03471696,    -0.8035359, , 
   0.03300549,    -0.7835513, , 
   0.03133823,    -0.7633947, , 
   0.02970445,    -0.7432876, , 
    0.0281168,      -0.72304, , 
   0.02656241,    -0.7028242, , 
   0.02505294,     -0.682541, , 
   0.02358684,    -0.6621415, , 
    0.0221565,    -0.6418003, , 
   0.02077423,    -0.6213362, , 
   0.01942842,    -0.6009176, , 
   0.01812797,    -0.5804266, , 
   0.01687042,    -0.5598894, , 
   0.01565673,    -0.5393301, , 
   0.01448642,    -0.5187349, , 
   0.01336007,    -0.4981105, , 
   0.01227812,    -0.4774647, , 
   0.01124022,    -0.4567827, , 
    0.0102473,    -0.4360838, , 
  0.009299058,    -0.4153565, , 
  0.008395964,    -0.3946074, , 
  0.007538387,    -0.3738441, , 
  0.006725896,    -0.3530501, , 
  0.005959342,    -0.3322462, , 
  0.005238493,    -0.3114223, , 
  0.004563542,    -0.2905793, , 
  0.003934819,    -0.2697273, , 
  0.003352135,    -0.2488534, , 
  0.002815941,     -0.227973, , 
  0.002326118,    -0.2070781, , 
  0.001882815,    -0.1861694, , 
   0.00148625,    -0.1652575, , 
  0.001136277,    -0.1443287, , 
 0.0008331634,    -0.1233962, , 
 0.0005769016,    -0.1024575, , 
 0.0003675017,   -0.08150673, , 
 0.0002051049,   -0.06055614, , 
 8.969125e-05,   -0.03959977, , 
 2.130515e-05,   -0.01864023, , 
-3.417993e-08,   0.002319185, , 
 2.568596e-05,    0.02328406, , 
 9.847717e-05,    0.04424884, , 
 0.0002183351,    0.06521298, , 
   0.00038525,    0.08617577, , 
 0.0005992265,     0.1071386, , 
  0.000860194,     0.1280958, , 
  0.001168157,     0.1490503, , 
  0.001523098,     0.1700023, , 
   0.00192487,     0.1909445, , 
  0.002373555,     0.2118844, , 
  0.002868981,     0.2328149, , 
  0.003411079,     0.2537359, , 
  0.003999894,     0.2746518, , 
  0.004635125,     0.2955524, , 
  0.005316911,     0.3164466, , 
   0.00604495,     0.3373262, , 
  0.006819158,     0.3581912, , 
   0.00763965,     0.3790483, , 
  0.008505825,      0.399882, , 
     0.009418,     0.4207053, , 
   0.01037585,     0.4415116, , 
   0.01137904,     0.4622961, , 
   0.01242781,     0.4830676, , 
   0.01352141,     0.5038113, , 
   0.01466018,     0.5245383, , 
   0.01584364,     0.5452419, , 
   0.01707146,     0.5659185, , 
   0.01834395,     0.5865779, , 
    0.0196602,     0.6072037, , 
    0.0210203,     0.6278039, , 
   0.02242377,     0.6483737, , 
   0.02387065,     0.6689143, , 
   0.02536097,     0.6894321, , 
   0.02689276,     0.7098977, , 
   0.02846772,      0.730342, , 
   0.03008448,     0.7507487, , 
    0.0317385,     0.7711574, , 
   0.03344215,     0.7914499, , 
   0.03517789,     0.8117683, , 
   0.03696225,     0.8319675, , 
   0.03877942,     0.8522136, , 
    0.0406428,     0.8723135, , 
   0.04254222,     0.8924108, , 
   0.04447511,     0.9125036, , 
   0.04644921,     0.9324963, , 
   0.04846132,     0.9524308, , 
   0.05051082,     0.9723106, , 
   0.05260032,      0.992076, , 
   0.05471548,      1.011857, , 
   0.05687139,      1.031558, , 
   0.05905803,      1.051149, , 
   0.06128042,      1.070687, , 
   0.06353415,      1.090145, , 
    0.0658161,      1.109488, , 
    0.0681344,      1.128804, , 
   0.07047508,      1.147966, , 
    0.0728464,      1.167053, , 
   0.07524671,      1.186064, , 
   0.07766546,        1.2049, , 
   0.08011756,      1.223708, , 
   0.08258151,      1.242301, , 
   0.08507027,      1.260801, , 
   0.08758043,      1.279189, , 
   0.09009765,      1.297342, , 
    0.0926422,      1.315447, , 
   0.09517576,      1.333293, , 
   0.09773262,      1.350984, , 
    0.1002961,      1.368469, , 
    0.1028466,      1.385614, , 
    0.1054145,      1.402578, , 
    0.1079303,      1.419101, , 
    0.1104382,      1.435213, , 
    0.1128455,      1.450519, , 
    0.1151739,      1.465132, , 
    0.1175283,      1.479747, , 
    0.1198411,      1.493833, , 
     0.122101,       1.50757, , 
    0.1243339,       1.52093, , 
    0.1265432,      1.533993, , 
    0.1286699,      1.546411, , 
    0.1307447,      1.558441, , 
    0.1327671,      1.569893, , 
    0.1346596,      1.580586, , 
    0.1365275,      1.591033, , 
    0.1383172,       1.60083, , 
    0.1400796,      1.610382, , 
    0.1417233,      1.619079, , 
    0.1432949,      1.627274, , 
    0.1447713,      1.634699, , 
     0.146117,      1.641286, , 
    0.1473318,      1.646905, , 

