Cl,Cd, , 
-0.6493969,0.2229801, , 
-0.6302611,0.2156146, , 
-0.6128649,0.2093602, , 
-0.60857,0.2032255, , 
-0.5829783,0.196011, , 
-0.5860755,0.1903768, , 
-0.5560659,0.1822556, , 
-0.5490602,0.1755986, , 
-0.5332864,0.1682029, , 
-0.526804,0.1614835, , 
-0.5105385,0.154419, , 
-0.5228132,0.1465229, , 
-0.4940222,0.1400384, , 
-0.5014865,0.1314484, , 
-0.4850181,0.1250086, , 
-0.4795132,0.1175187, , 
-0.4860293,0.1088283, , 
-0.5167797,0.09795812, , 
-0.4815829,0.09352198, , 
-0.5184496,0.08152553, , 
-0.5315678,0.0737808, , 
-0.7144298,0.03262989, , 
-0.6858069,0.02938887, , 
-0.652924,0.02604688, , 
-0.6142923,0.02399897, , 
-0.5728173,0.02212702, , 
-0.5301195,0.0207488, , 
-0.4858915,0.01950412, , 
-0.4420325,0.01854104, , 
-0.3622412,0.01754226, , 
-0.2779212,0.01660762, , 
-0.1968651,0.01569548, , 
-0.121634,0.01467054, , 
-0.04678116,0.01368992, , 
0.02005133,0.01323291, , 
0.1129238,0.01311043, , 
0.2392093,0.01280016, , 
0.3319962,0.01223888, , 
0.3778103,0.01190902, , 
0.4242028,0.01174777, , 
0.470319,0.01177694, , 
0.5179286,0.01190664, , 
0.5652517,0.0121558, , 
0.6126803,0.01247419, , 
0.6604322,0.01284357, , 
0.7082769,0.01325928, , 
0.7550346,0.01369062, , 
0.8020448,0.01414761, , 
0.8477272,0.01462184, , 
0.8924424,0.01513838, , 
0.935273,0.01573419, , 
0.975348,0.01645883, , 
1.010426,0.01763323, , 
1.039616,0.01944469, , 
1.065126,0.02170936, , 
1.090154,0.02407206, , 
1.117503,0.02640051, , 
1.145249,0.02880084, , 
1.177219,0.03140071, , 
1.209797,0.03412454, , 
1.247263,0.03734915, , 
1.28059,0.04070241, , 
1.297894,0.04438811, , 
1.318411,0.04909867, , 
1.301041,0.05457996, , 
1.285376,0.06051362, , 
1.299377,0.06572913, , 
1.255309,0.07489377, , 
1.208122,0.08626993, , 
0.624295,0.1909914, , 
0.6166227,0.1963351, , 
0.6216383,0.2023442, , 
0.6324715,0.2075961, , 
